,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Spatial neighborhood MI
27,Q0.001,0.41324604859636704,rep0,0.464,23602,VAE,0.028851036831297045
28,Q0.001,0.41324604859636704,rep0,0.464,23602,PCA,-0.005461346719347819
29,Q0.001,0.41324604859636704,rep0,0.464,23602,RandomProjection,-0.007178174397065971
30,Q0.001,0.41324604859636704,rep0,1.0,50868,VAE,-0.00534785899253193
31,Q0.001,0.41324604859636704,rep0,1.0,50868,PCA,-0.02323073509145811
32,Q0.001,0.41324604859636704,rep0,1.0,50868,RandomProjection,0.010833395812309349
33,Q0.001,0.41324604859636704,rep0,1.0,50868,nanoTxformer,0.02431276462732221
34,Q0.002,0.8994456239679169,rep0,0.001,50,VAE,-0.00268643695783789
35,Q0.002,0.8994456239679169,rep0,0.001,50,PCA,0.030000051175166208
36,Q0.002,0.8994456239679169,rep0,0.001,50,RandomProjection,-0.0017954284448707157
37,Q0.002,0.8994456239679169,rep0,0.001,50,nanoTxformer,-0.006869848322364945
38,Q0.002,0.8994456239679169,rep0,0.002,101,VAE,0.016642118064748083
39,Q0.002,0.8994456239679169,rep0,0.002,101,PCA,0.0014310908207165636
40,Q0.002,0.8994456239679169,rep0,0.002,101,RandomProjection,0.028568194006235583
41,Q0.002,0.8994456239679169,rep0,0.005,254,VAE,-0.011663023098911676
42,Q0.002,0.8994456239679169,rep0,0.005,254,PCA,0.024645898086428437
43,Q0.002,0.8994456239679169,rep0,0.005,254,RandomProjection,0.008764830179780022
44,Q0.002,0.8994456239679169,rep0,0.01,508,VAE,-0.0010925661493307736
45,Q0.002,0.8994456239679169,rep0,0.01,508,PCA,0.007801125449141092
46,Q0.002,0.8994456239679169,rep0,0.01,508,RandomProjection,0.010899243124409975
47,Q0.002,0.8994456239679169,rep0,0.01,508,nanoTxformer,-0.0024377664956477707
48,Q0.002,0.8994456239679169,rep0,0.022,1119,VAE,0.0011042413841052849
49,Q0.002,0.8994456239679169,rep0,0.022,1119,PCA,-0.004486859907270796
50,Q0.002,0.8994456239679169,rep0,0.022,1119,RandomProjection,-0.02196110852119587
51,Q0.002,0.8994456239679169,rep0,0.046,2339,VAE,-0.0038862656976098634
52,Q0.002,0.8994456239679169,rep0,0.046,2339,PCA,0.004509261525357722
53,Q0.002,0.8994456239679169,rep0,0.046,2339,RandomProjection,0.003873256336795199
54,Q0.002,0.8994456239679169,rep0,0.1,5086,VAE,-0.0025264586582241827
55,Q0.002,0.8994456239679169,rep0,0.1,5086,PCA,-0.0094866490858386
56,Q0.002,0.8994456239679169,rep0,0.1,5086,RandomProjection,0.005805189021890753
57,Q0.002,0.8994456239679169,rep0,0.1,5086,nanoTxformer,0.010056876787149447
58,Q0.002,0.8994456239679169,rep0,0.215,10936,VAE,0.009229383068761313
59,Q0.002,0.8994456239679169,rep0,0.215,10936,PCA,-0.008170487121025582
60,Q0.002,0.8994456239679169,rep0,0.215,10936,RandomProjection,0.01626750516836529
61,Q0.002,0.8994456239679169,rep0,0.464,23602,VAE,0.03471731719657896
62,Q0.002,0.8994456239679169,rep0,0.464,23602,PCA,-0.012593127810862751
63,Q0.002,0.8994456239679169,rep0,0.464,23602,RandomProjection,0.0069197672978164254
64,Q0.002,0.8994456239679169,rep0,1.0,50868,VAE,0.010051629174534941
65,Q0.002,0.8994456239679169,rep0,1.0,50868,PCA,0.009116604685442667
66,Q0.002,0.8994456239679169,rep0,1.0,50868,RandomProjection,0.005306602982934242
67,Q0.002,0.8994456239679169,rep0,1.0,50868,nanoTxformer,0.00242568323377464
68,Q0.005,1.9262208067940552,rep0,0.001,50,VAE,0.022095148245746803
69,Q0.005,1.9262208067940552,rep0,0.001,50,PCA,0.020204059819405158
70,Q0.005,1.9262208067940552,rep0,0.001,50,RandomProjection,0.008575336493330976
71,Q0.005,1.9262208067940552,rep0,0.001,50,nanoTxformer,-0.005766271313965783
72,Q0.005,1.9262208067940552,rep0,0.002,101,VAE,0.055744415530468786
73,Q0.005,1.9262208067940552,rep0,0.002,101,PCA,0.018090485938705693
74,Q0.005,1.9262208067940552,rep0,0.002,101,RandomProjection,0.0341241488091404
75,Q0.005,1.9262208067940552,rep0,0.005,254,VAE,0.026080257605708517
76,Q0.005,1.9262208067940552,rep0,0.005,254,PCA,0.02982622228142528
77,Q0.005,1.9262208067940552,rep0,0.005,254,RandomProjection,0.0288658711447858
78,Q0.005,1.9262208067940552,rep0,0.01,508,VAE,0.02867523926587818
79,Q0.005,1.9262208067940552,rep0,0.01,508,PCA,0.03820872725470935
80,Q0.005,1.9262208067940552,rep0,0.01,508,RandomProjection,0.024263935136464885
81,Q0.005,1.9262208067940552,rep0,0.01,508,nanoTxformer,0.03764361506743877
82,Q0.005,1.9262208067940552,rep0,0.022,1119,VAE,0.014451231376466183
83,Q0.005,1.9262208067940552,rep0,0.022,1119,PCA,0.02580742360107144
84,Q0.005,1.9262208067940552,rep0,0.022,1119,RandomProjection,0.02102899304433961
85,Q0.005,1.9262208067940552,rep0,0.046,2339,VAE,0.03182896393906423
86,Q0.005,1.9262208067940552,rep0,0.046,2339,PCA,0.04612350235552007
87,Q0.005,1.9262208067940552,rep0,0.046,2339,RandomProjection,0.016615749209543968
88,Q0.005,1.9262208067940552,rep0,0.1,5086,VAE,0.026889254012316708
89,Q0.005,1.9262208067940552,rep0,0.1,5086,PCA,0.048574574366345845
90,Q0.005,1.9262208067940552,rep0,0.1,5086,RandomProjection,0.026330672694352863
91,Q0.005,1.9262208067940552,rep0,0.1,5086,nanoTxformer,0.0038661139990930635
92,Q0.005,1.9262208067940552,rep0,0.215,10936,VAE,0.025902579086012786
93,Q0.005,1.9262208067940552,rep0,0.215,10936,PCA,0.018216034460972974
94,Q0.005,1.9262208067940552,rep0,0.215,10936,RandomProjection,0.026677216126167635
95,Q0.005,1.9262208067940552,rep0,0.464,23602,VAE,0.0328471014234115
96,Q0.005,1.9262208067940552,rep0,0.464,23602,PCA,0.015516411872905827
97,Q0.005,1.9262208067940552,rep0,0.464,23602,RandomProjection,0.027503351516603974
98,Q0.005,1.9262208067940552,rep0,1.0,50868,VAE,0.04961775253665613
99,Q0.005,1.9262208067940552,rep0,1.0,50868,PCA,0.0322563774601339
100,Q0.005,1.9262208067940552,rep0,1.0,50868,RandomProjection,0.01726804767008293
101,Q0.005,1.9262208067940552,rep0,1.0,50868,nanoTxformer,0.023324647121237687
