,Scale,MI,Class label,N instances of label
0,0.1,0.997982104207601,0,218
1,0.1,0.9758583383290675,1,202
2,0.1,1.0001881778888349,3,403
3,0.1,0.9906497079802544,5,412
4,0.1,0.9532426709341056,94,119
5,0.1,2.168225963590958,all,1354
6,0.21544346900318834,0.967076995155896,0,218
7,0.21544346900318834,0.978608982054719,1,202
8,0.21544346900318834,1.0017877234518364,3,403
9,0.21544346900318834,0.9975035592375887,5,412
10,0.21544346900318834,1.0060362752563834,94,119
11,0.21544346900318834,2.1702835459006566,all,1354
12,0.46415888336127786,0.9540005678238905,0,218
13,0.46415888336127786,0.981101646051389,1,202
14,0.46415888336127786,0.9966198403903066,3,403
15,0.46415888336127786,1.0017359698194872,5,412
16,0.46415888336127786,1.00481342196108,94,119
17,0.46415888336127786,2.1627617160018993,all,1354
18,1.0,0.9778343290049397,0,218
19,1.0,0.9588695311753563,1,202
20,1.0,0.9844418500463226,3,403
21,1.0,0.9575246050111134,5,412
22,1.0,0.9974785841148878,94,119
23,1.0,2.137217287893242,all,1354
24,2.1544346900318834,0.9201880875439115,0,218
25,2.1544346900318834,0.8682702740919112,1,202
26,2.1544346900318834,0.9071697833488728,3,403
27,2.1544346900318834,0.8614034600308395,5,412
28,2.1544346900318834,0.8024197865723149,94,119
29,2.1544346900318834,2.0355750475829373,all,1354
30,4.6415888336127775,0.5869544572854659,0,218
31,4.6415888336127775,0.6962219517698499,1,202
32,4.6415888336127775,0.7198083471871343,3,403
33,4.6415888336127775,0.7482659272843546,5,412
34,4.6415888336127775,0.5484510363948104,94,119
35,4.6415888336127775,1.5662391539329081,all,1354
36,10.0,0.3384070823969878,0,218
37,10.0,0.35797287972740577,1,202
38,10.0,0.6548329190199697,3,403
39,10.0,0.38850813116263916,5,412
40,10.0,0.272357671213676,94,119
41,10.0,0.9674308273723115,all,1354
42,21.54434690031882,0.19141310129485217,0,218
43,21.54434690031882,0.15228477250056915,1,202
44,21.54434690031882,0.3838898637310455,3,403
45,21.54434690031882,0.08472593742046579,5,412
46,21.54434690031882,0.040311033982775815,94,119
47,21.54434690031882,0.46642967292306825,all,1354
48,46.41588833612777,0.051946394339030866,0,218
49,46.41588833612777,-0.07416748445362586,1,202
50,46.41588833612777,0.06847278073321102,3,403
51,46.41588833612777,-0.00022802191476294559,5,412
52,46.41588833612777,0.06967874089983891,94,119
53,46.41588833612777,0.019617741010681027,all,1354
54,100.0,-0.05796412322827137,0,218
55,100.0,-0.00593219906332231,1,202
56,100.0,-0.005268868836215581,3,403
57,100.0,0.05588820947271129,5,412
58,100.0,-0.00739692457708479,94,119
59,100.0,0.03947495698998872,all,1354
