epoch,MI,linear
1,1.5002898933290494,0.5341666666666667
2,2.325634349573732,0.6596666666666666
3,2.6557460453442054,0.7445
4,2.753342148391725,0.7633333333333333
5,2.769337880575163,0.778
6,2.8551949153386658,0.7925
7,2.8739346166276745,0.8063333333333333
8,2.893156044576953,0.8158333333333333
9,2.9052728611023118,0.8213333333333334
10,2.9159858976698687,0.8248333333333333
11,2.920591588730779,0.8296666666666667
