,Model,UMI per cell,Quality,MI
0,nanoTxformer,8.156738595868344,0.001,0.3698010147746471
1,Random projection,8.156738595868344,0.001,0.4749973123319127
2,Rank random projection,8.156738595868344,0.001,0.46867620115948455
3,nanoTxformer,17.573158704485383,0.0021544346900318843,0.7113642384339577
4,Random projection,17.573158704485383,0.0021544346900318843,0.7725084425465056
5,Rank random projection,17.573158704485383,0.0021544346900318843,0.7259373491940926
6,nanoTxformer,37.86022459794601,0.004641588833612777,1.147232197126268
7,Random projection,37.86022459794601,0.004641588833612777,1.1910287382197198
8,Rank random projection,37.86022459794601,0.004641588833612777,1.135710227988008
9,nanoTxformer,81.56738595868345,0.01,1.5793364598374262
10,Random projection,81.56738595868345,0.01,1.6762727502154757
11,Rank random projection,81.56738595868345,0.01,1.645419613608187
12,nanoTxformer,175.7316067694978,0.021544346900318832,2.0290501233119564
13,Random projection,175.7316067694978,0.021544346900318832,2.0269006366101516
14,Rank random projection,175.7316067694978,0.021544346900318832,2.047495385540661
15,nanoTxformer,378.60227885386666,0.046415888336127774,2.391226102026433
16,Random projection,378.60227885386666,0.046415888336127774,2.4586521041850977
17,Rank random projection,378.60227885386666,0.046415888336127774,2.3138504742263466
18,nanoTxformer,815.6738858863597,0.1,2.6884323129924024
19,Random projection,815.6738858863597,0.1,2.9031423986980562
20,Rank random projection,815.6738858863597,0.1,2.670092956543192
21,nanoTxformer,1757.3161137191473,0.21544346900318823,2.942415298520573
22,Random projection,1757.3161137191473,0.21544346900318823,3.278492811643566
23,Rank random projection,1757.3161137191473,0.21544346900318823,3.057784438852681
24,nanoTxformer,3786.022795113548,0.46415888336127775,3.151873345649308
25,Random projection,3786.022795113548,0.46415888336127775,3.7747910690769073
26,Rank random projection,3786.022795113548,0.46415888336127775,3.3215117526234312
27,nanoTxformer,8156.738858863598,1.0,3.244403611045183
28,Random projection,8156.738858863598,1.0,4.033482125096508
29,Rank random projection,8156.738858863598,1.0,3.7237705016375084
