,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Protein MI,Cell type coarse MI,Cell type fine MI
65,Q0.002,17.570823690300863,rep0,1.0,114072,PCA,0.6179737555892936,0.5189831443851308,0.6971472183331291
66,Q0.002,17.570823690300863,rep0,1.0,114072,RandomProjection,0.5605337885041753,0.4976428371348942,0.635187036292644
67,Q0.002,17.570823690300863,rep0,1.0,114072,nanoTxformer,0.6639717325578449,0.7523814872754283,0.7181088708276332
68,Q0.005,37.813854407742475,rep0,0.001,114,VAE,0.9797049036999509,0.9411693001008136,0.9943955279789166
69,Q0.005,37.813854407742475,rep0,0.001,114,PCA,0.9891504221952486,0.6705030772557433,1.0070922741288515
70,Q0.005,37.813854407742475,rep0,0.001,114,RandomProjection,0.8286050731977261,0.872064049347458,0.8980044203863556
71,Q0.005,37.813854407742475,rep0,0.001,114,nanoTxformer,1.043287745674791,1.0295330012608874,1.0329721964575762
72,Q0.005,37.813854407742475,rep0,0.002,228,VAE,1.0462212234234278,0.9321411229151019,1.0440488813044309
73,Q0.005,37.813854407742475,rep0,0.002,228,PCA,0.9510235354423219,0.7862413122428655,1.0748200422225345
74,Q0.005,37.813854407742475,rep0,0.002,228,RandomProjection,0.8040306301122441,0.7671062795085599,0.8506883915543124
75,Q0.005,37.813854407742475,rep0,0.005,570,VAE,1.0281803732469985,0.9326635626199528,1.0901100235152714
76,Q0.005,37.813854407742475,rep0,0.005,570,PCA,0.8576299990838318,0.6682551462495063,1.0010348686034485
77,Q0.005,37.813854407742475,rep0,0.005,570,RandomProjection,0.8059164818837157,0.7660223756227608,0.8397259823961353
78,Q0.005,37.813854407742475,rep0,0.01,1140,VAE,1.0978206785766311,0.9505169099448907,1.0780465015006166
79,Q0.005,37.813854407742475,rep0,0.01,1140,PCA,0.8954941226385078,0.6556024011518978,0.907883908312414
80,Q0.005,37.813854407742475,rep0,0.01,1140,RandomProjection,0.8121780218577068,0.742020629078307,0.8723257609084524
81,Q0.005,37.813854407742475,rep0,0.01,1140,nanoTxformer,1.0214662036896702,1.0677079873122992,1.064954788575722
82,Q0.005,37.813854407742475,rep0,0.022,2509,VAE,1.1636933508655392,0.8767450793317125,1.0386854351030093
83,Q0.005,37.813854407742475,rep0,0.022,2509,PCA,0.8977031334995194,0.6245861888527332,0.8735484764379642
84,Q0.005,37.813854407742475,rep0,0.022,2509,RandomProjection,0.7946958692061773,0.8065101076371404,0.8755471455963025
85,Q0.005,37.813854407742475,rep0,0.046,5247,VAE,1.2255773609957827,0.7995245842198615,1.1237343788457552
86,Q0.005,37.813854407742475,rep0,0.046,5247,PCA,0.8844275688936953,0.6603021014791786,0.9766089488154256
87,Q0.005,37.813854407742475,rep0,0.046,5247,RandomProjection,0.8839627230595462,0.8522276635140048,0.9213721288266729
88,Q0.005,37.813854407742475,rep0,0.1,11407,VAE,1.2059921735068055,1.0235699078373535,1.1199348157022213
89,Q0.005,37.813854407742475,rep0,0.1,11407,PCA,0.816945508942536,0.6773228153152975,0.8839799494365345
90,Q0.005,37.813854407742475,rep0,0.1,11407,RandomProjection,0.8045567214834894,0.7725072000400766,0.8539435418860276
91,Q0.005,37.813854407742475,rep0,0.1,11407,nanoTxformer,1.0523854999545004,1.0600560417506641,1.100346709130069
92,Q0.005,37.813854407742475,rep0,0.215,24525,VAE,1.2875305727700643,1.0651044099706255,1.14101224087555
93,Q0.005,37.813854407742475,rep0,0.215,24525,PCA,0.8235982649888011,0.7020084036340278,0.9822741412884972
94,Q0.005,37.813854407742475,rep0,0.215,24525,RandomProjection,0.778650173860205,0.7323249139081733,0.8410517478804989
95,Q0.005,37.813854407742475,rep0,0.464,52929,VAE,1.3174279159687696,1.0652300357406905,1.1124593284235516
