,MI,Layers,Embedding size,Heads,Val. loss,Extract layer
0,2.8097649181157434,2,128,4,"[7.417013059890669, 6.808228364142121, 5.789590504803658, 4.4709436003417276, 3.178315962989268, 2.280210724571766, 1.8377900865126886, 1.6363298056544953, 1.5313684139234152, 1.4579174001238209, 1.3934406466532565, 1.3387527540495954, 1.2994785695698476, 1.2687425130337096, 1.2523958796386068, 1.2306670852471877, 1.2020871760619223, 1.1480379955911353, 0.952197946052833, 0.9015626904957863, 0.8753400841283993, 0.858825119477802, 0.842201929775253, 0.8308812369767713, 0.8231699776107567, 0.8132200689965772, 0.8124072941257902, 0.8124481749711236]",Last
1,2.768845131460193,2,128,4,"[7.417013059890669, 6.808228364142121, 5.789590504803658, 4.4709436003417276, 3.178315962989268, 2.280210724571766, 1.8377900865126886, 1.6363298056544953, 1.5313684139234152, 1.4579174001238209, 1.3934406466532565, 1.3387527540495954, 1.2994785695698476, 1.2687425130337096, 1.2523958796386068, 1.2306670852471877, 1.2020871760619223, 1.1480379955911353, 0.952197946052833, 0.9015626904957863, 0.8753400841283993, 0.858825119477802, 0.842201929775253, 0.8308812369767713, 0.8231699776107567, 0.8132200689965772, 0.8124072941257902, 0.8124481749711236]",Second to last
2,3.025311936794756,2,256,4,"[6.103385214092396, 4.481169267012616, 2.306750237555038, 1.450266805360678, 1.332067693970861, 1.3064523976914781, 1.2762217850339594, 1.2570030012142024, 1.2324309087434024, 1.2107731253156928, 1.1923473561981175, 1.051617032774975, 0.9386019689144768, 0.8674364240368783, 0.8439898195185124, 0.8353620939415295, 0.8282428562651595, 0.8195377536377357, 0.8048896398329979, 0.8032631890130721, 0.8017177464539754, 0.79529793513653, 0.7950574499070736, 0.7860430170975915, 0.7827481675459333, 0.7831756040067207]",Last
3,2.9509693337130734,2,256,4,"[6.103385214092396, 4.481169267012616, 2.306750237555038, 1.450266805360678, 1.332067693970861, 1.3064523976914781, 1.2762217850339594, 1.2570030012142024, 1.2324309087434024, 1.2107731253156928, 1.1923473561981175, 1.051617032774975, 0.9386019689144768, 0.8674364240368783, 0.8439898195185124, 0.8353620939415295, 0.8282428562651595, 0.8195377536377357, 0.8048896398329979, 0.8032631890130721, 0.8017177464539754, 0.79529793513653, 0.7950574499070736, 0.7860430170975915, 0.7827481675459333, 0.7831756040067207]",Second to last
4,2.740928468644459,6,128,4,"[6.398618527217934, 4.769553996461871, 2.9573739562853163, 2.0782698192618176, 1.7417267662651514, 1.6211476810204655, 1.551357487293998, 1.4825513360167144, 1.4258561428233278, 1.3704177887423423, 1.32303561685421, 1.2876120865888476, 1.2624770821593592, 1.2252694319946065, 1.0045159561590586, 0.9418849449329746, 0.9050505757436362, 0.8792070352754717, 0.8675881636116863, 0.845474961565361, 0.8419353433381868, 0.8234649505752005, 0.8241010564166282]",Last
5,2.7579357796809743,6,128,4,"[6.398618527217934, 4.769553996461871, 2.9573739562853163, 2.0782698192618176, 1.7417267662651514, 1.6211476810204655, 1.551357487293998, 1.4825513360167144, 1.4258561428233278, 1.3704177887423423, 1.32303561685421, 1.2876120865888476, 1.2624770821593592, 1.2252694319946065, 1.0045159561590586, 0.9418849449329746, 0.9050505757436362, 0.8792070352754717, 0.8675881636116863, 0.845474961565361, 0.8419353433381868, 0.8234649505752005, 0.8241010564166282]",Second to last
6,2.888020486523457,6,256,4,"[4.467129809593456, 1.9866247340166714, 1.3784099046272205, 1.3180604533690978, 1.288666073719535, 1.2676569754455396, 1.2448539689311267, 1.2254417140272633, 1.207712588587153, 0.9254759063540207, 0.8978209075755234, 0.8580753027947952, 0.845515328771189, 0.8357392808214397, 0.8261520749953493, 0.827559386639017]",Last
7,3.020124102782615,6,256,4,"[4.467129809593456, 1.9866247340166714, 1.3784099046272205, 1.3180604533690978, 1.288666073719535, 1.2676569754455396, 1.2448539689311267, 1.2254417140272633, 1.207712588587153, 0.9254759063540207, 0.8978209075755234, 0.8580753027947952, 0.845515328771189, 0.8357392808214397, 0.8261520749953493, 0.827559386639017]",Second to last
