,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Clonal MI
24,Q0.001,2.5832314650693724,rep0,0.215,42211,VAE,-0.04501326981080702
25,Q0.001,2.5832314650693724,rep0,0.215,42211,PCA,0.00855449213145543
26,Q0.001,2.5832314650693724,rep0,0.215,42211,RandomProjection,-0.05958178309570519
27,Q0.001,2.5832314650693724,rep0,0.464,91098,VAE,-0.03541114316511589
28,Q0.001,2.5832314650693724,rep0,0.464,91098,PCA,-0.007439271376947238
29,Q0.001,2.5832314650693724,rep0,0.464,91098,RandomProjection,-0.002293031706380022
30,Q0.001,2.5832314650693724,rep0,1.0,196332,VAE,0.001770887643966434
31,Q0.001,2.5832314650693724,rep0,1.0,196332,PCA,-0.008283925564839877
32,Q0.001,2.5832314650693724,rep0,1.0,196332,RandomProjection,0.01007264370670093
33,Q0.001,2.5832314650693724,rep0,1.0,196332,nanoTxformer,0.049874144178999984
34,Q0.002,5.579365564452051,rep0,0.001,196,VAE,0.026340215086061172
35,Q0.002,5.579365564452051,rep0,0.001,196,PCA,0.0055467230731513365
36,Q0.002,5.579365564452051,rep0,0.001,196,RandomProjection,0.014595102449536703
37,Q0.002,5.579365564452051,rep0,0.001,196,nanoTxformer,-0.023252797032978768
38,Q0.002,5.579365564452051,rep0,0.002,392,VAE,-0.022385132271146416
39,Q0.002,5.579365564452051,rep0,0.002,392,PCA,0.024735557537754534
40,Q0.002,5.579365564452051,rep0,0.002,392,RandomProjection,0.028466363156317284
41,Q0.002,5.579365564452051,rep0,0.005,981,VAE,-0.05355016665143137
42,Q0.002,5.579365564452051,rep0,0.005,981,PCA,0.005722749207212139
43,Q0.002,5.579365564452051,rep0,0.005,981,RandomProjection,0.002702354547389773
44,Q0.002,5.579365564452051,rep0,0.01,1963,VAE,0.035366221090040575
45,Q0.002,5.579365564452051,rep0,0.01,1963,PCA,0.014201141400787307
46,Q0.002,5.579365564452051,rep0,0.01,1963,RandomProjection,-0.016902717485827848
47,Q0.002,5.579365564452051,rep0,0.01,1963,nanoTxformer,0.000158290597640467
48,Q0.002,5.579365564452051,rep0,0.022,4319,VAE,-0.03684820209669851
49,Q0.002,5.579365564452051,rep0,0.022,4319,PCA,0.031015667342675926
50,Q0.002,5.579365564452051,rep0,0.022,4319,RandomProjection,-0.018276465320818922
51,Q0.002,5.579365564452051,rep0,0.046,9031,VAE,-0.006975001460500225
52,Q0.002,5.579365564452051,rep0,0.046,9031,PCA,-0.034518440413886776
53,Q0.002,5.579365564452051,rep0,0.046,9031,RandomProjection,0.050198972618069236
54,Q0.002,5.579365564452051,rep0,0.1,19633,VAE,-0.006899726081338029
55,Q0.002,5.579365564452051,rep0,0.1,19633,PCA,-0.023703069146117247
56,Q0.002,5.579365564452051,rep0,0.1,19633,RandomProjection,0.06008124947812454
57,Q0.002,5.579365564452051,rep0,0.1,19633,nanoTxformer,-0.001836025696777407
58,Q0.002,5.579365564452051,rep0,0.215,42211,VAE,0.02049367907355483
59,Q0.002,5.579365564452051,rep0,0.215,42211,PCA,0.023428034907429878
60,Q0.002,5.579365564452051,rep0,0.215,42211,RandomProjection,0.03285874941039959
61,Q0.002,5.579365564452051,rep0,0.464,91098,VAE,-0.057248905959208514
62,Q0.002,5.579365564452051,rep0,0.464,91098,PCA,0.0653510398641723
63,Q0.002,5.579365564452051,rep0,0.464,91098,RandomProjection,-0.0050840938692655
64,Q0.002,5.579365564452051,rep0,1.0,196332,VAE,0.005247694914057375
65,Q0.002,5.579365564452051,rep0,1.0,196332,PCA,0.030017994346357765
66,Q0.002,5.579365564452051,rep0,1.0,196332,RandomProjection,0.0284494670424422
67,Q0.002,5.579365564452051,rep0,1.0,196332,nanoTxformer,0.014881595580941327
68,Q0.005,12.009534869506753,rep0,0.001,196,VAE,0.05214982225243981
69,Q0.005,12.009534869506753,rep0,0.001,196,PCA,0.03550788328810263
70,Q0.005,12.009534869506753,rep0,0.001,196,RandomProjection,0.05773578851882251
71,Q0.005,12.009534869506753,rep0,0.001,196,nanoTxformer,-0.05848884512243501
72,Q0.005,12.009534869506753,rep0,0.002,392,VAE,0.013066752160169086
73,Q0.005,12.009534869506753,rep0,0.002,392,PCA,0.022992687912030473
74,Q0.005,12.009534869506753,rep0,0.002,392,RandomProjection,0.0023539251794116142
75,Q0.005,12.009534869506753,rep0,0.005,981,VAE,-0.006545722792853907
76,Q0.005,12.009534869506753,rep0,0.005,981,PCA,0.01146339471956307
