,UMI per cell,Encoding,Representation dim.,MI
0,8164.06146,count,16,2.889037728451843
1,8164.06146,rank,16,2.1872382505384893
2,1758.87692,count,16,2.1673701356384383
3,1758.87692,rank,16,1.92790952053255
4,378.9573,count,16,1.8455859527967762
5,378.9573,rank,16,1.5354954776411076
6,81.66472,count,16,1.0603605171187676
7,81.66472,rank,16,1.2036710984133459
8,17.57614,count,16,0.6175883846895481
9,17.57614,rank,16,0.596930884533672
